NPC type,Powder mass (mg),Loading,KOH conc.,Current ,hydrogen ,CO,ethylene,acetic,ethanol
2,48.51980008,0.355247982,3,800,9.893532611,20.71168368,46.52163689,3.23,17.02
2,51.65500998,0.406342381,1,400,16.07680581,22.45801907,47.28957276,0,16.13
2,57.19607843,0.319215686,1,800,19.9916532,13.17457457,42.10368431,3.5,21.11
2,53.2815534,0.356893204,0.75,800,12.0688347,24.6649728,47.78454651,1.27,15.02
2,51.65500998,0.406342381,1,600,18.27499991,11.29195775,39.38757865,2,22.96
2,51.65500998,0.334138909,1,600,14.79883,15.93941,42.56244,1.13,19.78
1,71.09781478,0.418314256,1,800,19.31826922,16.25977369,40.41874518,3.34,20.07
1,71.09781478,0.418314256,1,600,19.70568448,16.83510363,41.74097433,2.41,18.36
1,46.6407767,0.383300971,1,800,14.43200152,20.8655206,43.07501254,1.45,15.78
1,71.09781478,0.418314256,1,500,16.27871,23.04783,39.94667,1.51,16.61
2,53.2815534,0.356893204,0.75,1000,9.359751468,13.82066009,33.43191145,2.2,22.44
2,28.91708153,0.340538582,1,700,12.88459773,29.4347378,40.7057668,1.67,15.16
2,51.65500998,0.406342381,1,800,22.13661,5.82638,33.09906,2.89,22.45
2,57.19607843,0.319215686,1,1000,17.9814607,15.72614386,36.89457837,3.01,17.67
1,46.6407767,0.383300971,1,700,13.60201942,26.32367689,39.20159765,1.32,14.42
1,55.55555556,0.502222222,1,600,19.15877,18.42886,34.60755,1.19,17.96
2,53.2815534,0.356893204,0.75,1800,16.70341966,5.642595628,25.41873349,7.3,27.04
2,57.19607843,0.319215686,1,1400,23.56989197,7.3494039,31.11884367,6.06,20.59
1,55.55555556,0.502222222,1,1000,18.84283,12.84292,35.03314,1.93,16.52
2,53.2815534,0.356893204,0.75,600,9.618096383,30.9947349,37.11260309,0.42,13.39
1,71.09781478,0.418314256,1,400,15.5159,26.81326,35.85791,0.62,14.47
1,55.55555556,0.502222222,1,400,22.00675,24.21467,34.81329,0.61,15.5
2,28.91708153,0.340538582,1,700,10.81362747,27.29398589,35.24271405,1.56,14.13
2,57.19607843,0.319215686,1,300,9.942165222,34.14297877,32.27925676,0.4,13.69
1,36.1,0.3424,1,300,26.26035,26.56865,32.74848,1.46,12.99
2,36.3165859,0.361538462,1,800,15.24961271,33.83351747,33.0623061,1.49,11.92
2,53.2815534,0.356893204,0.75,1000,11.5584871,18.29188439,33.71691221,0.75,11.06
2,57.19607843,0.319215686,1,400,12.06996686,33.47769001,30.67472829,0.62,14.04
1,36.1,0.3424,1,200,19.86051,28.59242,30.85513,0,13.13
2,57.19607843,0.319215686,1,400,12.06996686,33.47769001,30.67472829,0.35,13.25
2,48.51980008,0.355247982,3,1400,28.95575971,7.879299264,26.23749567,8.66,17.61
2,48.51980008,0.355247982,3,400,6.267617899,33.74771408,29.98282618,1.85,13.68
2,28.91708153,0.361538462,1,600,11.03695959,33.05252261,29.45662133,1.37,13.54
1,37.39373937,0.440044004,1,400,19.15181017,25.44148546,27.27674136,1.32,14.24
1,36.1,0.3424,1,450,34.66199,21.68515,29.05797,0,11
2,28.91708153,0.361538462,1,400,9.166517277,35.84661714,26.93303249,1.45,12.84
2,28.91708153,0.361538462,1,400,9.166517277,35.84661714,26.93303249,1.45,12.84
2,53.2815534,0.356893204,0.75,400,9.638567241,33.90148278,27.67753526,0.21,12.03
2,51.65500998,0.406342381,1,200,12.63653,37.63552,28.52061,0.05,10.26
2,28.91708153,0.340538582,1,400,8.91467706,40.16716117,26.15223701,1.22,12.45
1,37.39373937,0.440044004,1,300,16.14545373,30.97727837,25.07335901,1.25,12.79
2,51.65500998,0.406342381,1,100,16.98168,40.98023,24.73986,0.22,12.74
2,48.51980008,0.355247982,3,300,6.667260791,41.14992841,26.10469488,1.83,11.27
2,28.91708153,0.361538462,1,300,7.732990077,42.08736585,22.24726685,1.53,12.6
2,57.71577158,0.285628563,1,400,33.25914731,1.825288726,11.1842052,3.47,22.58
1,37.39373937,0.440044004,1,200,14.28434801,29.71559536,20.13428597,1.91,13.11
1,36.1,0.3424,1,500,38.88937,21.20201,22.64835,0.31,9.47
1,36.1,0.3424,1,100,19.36952,33.26807,22.15748,0,9.2
2,56.39681615,0.349834984,1,400,33.08590044,4.980571519,11.39002422,1.84,19.56
2,48.51980008,0.355247982,3,200,7.620196228,51.06940948,19.82620085,2.29,8.27
2,53.2815534,0.356893204,0.75,200,9.353576218,40.92406786,19.33674941,0,8.64
2,28.91708153,0.361538462,1,200,9.542548818,47.05324352,16.62747498,1.6,9.44
2,28.91708153,0.361538462,1,200,9.542548818,47.05324352,16.62747498,1.6,9.44
2,57.19607843,0.319215686,1,50,26.44402893,38.27488452,18.67224632,0,5.13
2,48.51980008,0.355247982,3,1800,30.16197857,2.892423015,8.461144755,6.5,14.43
1,37.39373937,0.440044004,1,10,55.22623261,7.3807243,16.62796486,0,3.7
1,37.39373937,0.440044004,1,100,16.46434643,33.76807605,11.57123843,2.99,7.73
2,48.51980008,0.355247982,3,50,21.05793449,43.77088587,16.58888925,6.48,2.28
1,36.1,0.3424,1,50,21.15735,45.67426,14.18694,0,4.46
2,48.51980008,0.355247982,3,100,10.61956531,58.26169238,12.9101544,4.31,5.12
1,36.1,0.3424,1,10,46.68426,17.81732,16.98103,0,0
2,53.2815534,0.356893204,0.75,100,11.98550621,50.88821174,10.2764942,0,3.91
1,37.39373937,0.440044004,1,50,20.36965314,40.89390335,6.896734109,3.99,7.12
2,51.94230769,0.361538462,1,100,13.41613091,53.65129924,6.108679425,2.91,2.12
1,46.6407767,0.383300971,1,50,23.79151224,54.13533653,5.938494321,4.31,0
2,53.2815534,0.356893204,0.75,50,19.43146516,47.2468456,4.580755746,0.17,0
2,28.91708153,0.361538462,1,50,18.98793131,45.65195195,3.648536962,4.23,0
2,57.19607843,0.319215686,1,10,31.85200531,0,0,0,0
2,28.91708153,0.361538462,1,10,43.97133223,15.75124242,0,12.16,0
1,37.39373937,0.440044004,1,5,45.90379015,5.940179892,0,14.41,0
1,46.6407767,0.383300971,1,2.5,29.9897274,0,0,28.11,0
2,28.91708153,0.340538582,1,5,35.58231418,11.4364406,0,14.97,0
2,28.91708153,0.340538582,1,2.5,31.53168588,0,0,26.85,0
